01-21 23:20:48: Training starting...
01-21 23:20:48: New best reward 13.0 (-100.0%) at episode 0, saving model...
01-21 23:20:49: New best reward 19.0 (+46.2%) at episode 1, saving model...
01-21 23:20:49: New best reward 28.0 (+47.4%) at episode 2, saving model...
01-21 23:20:49: New best reward 31.0 (+10.7%) at episode 11, saving model...
01-21 23:20:49: New best reward 42.0 (+35.5%) at episode 12, saving model...
01-21 23:20:49: New best reward 51.0 (+21.4%) at episode 21, saving model...
01-21 23:20:49: New best reward 62.0 (+21.6%) at episode 27, saving model...
01-21 23:20:50: New best reward 64.0 (+3.2%) at episode 41, saving model...
01-21 23:20:50: New best reward 76.0 (+18.8%) at episode 130, saving model...
01-21 23:20:50: New best reward 81.0 (+6.6%) at episode 262, saving model...
01-21 23:20:51: New best reward 110.0 (+35.8%) at episode 326, saving model...
01-21 23:20:51: New best reward 120.0 (+9.1%) at episode 398, saving model...
01-21 23:20:52: New best reward 135.0 (+12.5%) at episode 573, saving model...
01-21 23:20:52: New best reward 140.0 (+3.7%) at episode 640, saving model...
01-21 23:20:52: New best reward 181.0 (+29.3%) at episode 657, saving model...
01-21 23:20:53: New best reward 192.0 (+6.1%) at episode 801, saving model...
01-21 23:20:53: New best reward 233.0 (+21.4%) at episode 806, saving model...
01-21 23:20:54: New best reward 277.0 (+18.9%) at episode 911, saving model...
01-21 23:20:57: New best reward 301.0 (+8.7%) at episode 1183, saving model...
01-21 23:20:58: New best reward 325.0 (+8.0%) at episode 1300, saving model...
01-21 23:20:59: New best reward 412.0 (+26.8%) at episode 1313, saving model...
01-21 23:21:06: New best reward 426.0 (+3.4%) at episode 1843, saving model...
01-21 23:21:06: New best reward 446.0 (+4.7%) at episode 1844, saving model...
01-21 23:21:09: New best reward 461.0 (+3.4%) at episode 2029, saving model...
01-21 23:21:23: New best reward 587.0 (+27.3%) at episode 2725, saving model...
01-21 23:21:24: New best reward 648.0 (+10.4%) at episode 2738, saving model...
01-21 23:21:24: New best reward 834.0 (+28.7%) at episode 2762, saving model...
01-21 23:21:26: New best reward 1193.0 (+43.0%) at episode 2797, saving model...
01-21 23:21:30: New best reward 1579.0 (+32.4%) at episode 2842, saving model...
01-21 23:21:30: New best reward 2013.0 (+27.5%) at episode 2843, saving model...
01-21 23:21:30: New best reward 2908.0 (+44.5%) at episode 2845, saving model...
01-21 23:21:31: New best reward 2926.0 (+0.6%) at episode 2850, saving model...
01-21 23:21:32: New best reward 2937.0 (+0.4%) at episode 2864, saving model...
01-21 23:21:33: New best reward 5781.0 (+96.8%) at episode 2865, saving model...
01-21 23:21:35: New best reward 10977.0 (+89.9%) at episode 2871, saving model...
01-21 23:21:46: New best reward 14095.0 (+28.4%) at episode 2892, saving model...
